# Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz
lib_bnnt-3_M062X_Z-50.FChk,0.0,0.0,-0.002500000000000001,-330.8072407009612,0.5693115009821366,87.47749146234048,980.0785230821315
lib_bnnt-3_M062X_Z-49.FChk,0.0,0.0,-0.002450000000000001,-330.807212344754,0.5649364106765051,87.52588315418916,952.3940424361502
lib_bnnt-3_M062X_Z-48.FChk,0.0,0.0,-0.002400000000000001,-330.807184207362,0.5605589386885632,87.57277884667073,926.6223796300332
lib_bnnt-3_M062X_Z-47.FChk,0.0,0.0,-0.002350000000000001,-330.8071562889022,0.5561791451127025,87.61893961095461,923.486381389442
lib_bnnt-3_M062X_Z-46.FChk,0.0,0.0,-0.002300000000000001,-330.807128589487,0.5517970394120013,87.66539952281345,936.6392354841599
lib_bnnt-3_M062X_Z-45.FChk,0.0,0.0,-0.002250000000000001,-330.8071011092383,0.5474125909397922,87.71269911861566,955.7220438724238
lib_bnnt-3_M062X_Z-44.FChk,0.0,0.0,-0.002200000000000001,-330.8070738482671,0.5430257531197387,87.7609762275427,975.1955760894489
lib_bnnt-3_M062X_Z-43.FChk,0.0,0.0,-0.002150000000000001,-330.8070468067038,0.5386364776322901,87.81019292945888,993.175133667261
lib_bnnt-3_M062X_Z-42.FChk,0.0,0.0,-0.002100000000000001,-330.8070199846615,0.5342447195834232,87.86026462150859,1009.425180372905
lib_bnnt-3_M062X_Z-41.FChk,0.0,0.0,-0.002050000000000001,-330.8069933822716,0.5298504382450053,87.91111247524813,1024.301218162349
lib_bnnt-3_M062X_Z-40.FChk,0.0,0.0,-0.002000000000000001,-330.8069669996605,0.5254535963491827,87.9626803026396,1038.309960639321
lib_bnnt-3_M062X_Z-39.FChk,0.0,0.0,-0.001950000000000001,-330.8069408369553,0.5210541587520225,88.01493717919632,1051.938385856854
lib_bnnt-3_M062X_Z-38.FChk,0.0,0.0,-0.001900000000000001,-330.8069148942874,0.5166520912974297,88.06787455356314,1065.588046202933
lib_bnnt-3_M062X_Z-37.FChk,0.0,0.0,-0.001850000000000001,-330.8068891717906,0.5122473598068953,88.12150128227023,1079.551973857071
lib_bnnt-3_M062X_Z-36.FChk,0.0,0.0,-0.001800000000000001,-330.8068636695983,0.5078399293355038,88.17583806584659,1094.011415622787
lib_bnnt-3_M062X_Z-35.FChk,0.0,0.0,-0.001750000000000001,-330.8068383878442,0.5034297637162908,88.23091200491359,1109.042766520779
lib_bnnt-3_M062X_Z-34.FChk,0.0,0.0,-0.001700000000000001,-330.8068133266687,0.4990168253730278,88.28675162406054,1124.62836746725
lib_bnnt-3_M062X_Z-33.FChk,0.0,0.0,-0.001650000000000001,-330.8067884862079,0.4946010753578847,88.34338242349287,1140.666526145384
lib_bnnt-3_M062X_Z-32.FChk,0.0,0.0,-0.001600000000000001,-330.8067638666073,0.4901824736272697,88.40082298666019,1156.986638974705
lib_bnnt-3_M062X_Z-31.FChk,0.0,0.0,-0.001550000000000001,-330.8067394680082,0.48576097940414,88.45908273466597,1173.410882935245
lib_bnnt-3_M062X_Z-30.FChk,0.0,0.0,-0.001500000000000001,-330.8067152905576,0.481336551645676,88.51816526060757,1189.91637056904
lib_bnnt-3_M062X_Z-29.FChk,0.0,0.0,-0.001450000000000001,-330.8066913343989,0.4769091490330788,88.57807889591823,1206.684629261463
lib_bnnt-3_M062X_Z-28.FChk,0.0,0.0,-0.001400000000000001,-330.8066675996921,0.4724787296558866,88.6388385347382,1223.74848827094
lib_bnnt-3_M062X_Z-27.FChk,0.0,0.0,-0.001350000000000001,-330.8066440865802,0.4680452507733404,88.70046371826763,1241.442007386469
lib_bnnt-3_M062X_Z-26.FChk,0.0,0.0,-0.001300000000000001,-330.8066207952172,0.46360866797865,88.76300827831054,1260.661332521076
lib_bnnt-3_M062X_Z-25.FChk,0.0,0.0,-0.001250000000000001,-330.8065977257643,0.4591689329649582,88.82657510070433,1282.647284861748
lib_bnnt-3_M062X_Z-24.FChk,0.0,0.0,-0.001200000000000001,-330.8065748783814,0.4547259903178529,88.89135417713234,1309.463379284339
lib_bnnt-3_M062X_Z-23.FChk,0.0,0.0,-0.00115,-330.8065522532223,0.4502797727370722,88.95762310123109,1342.299206611008
lib_bnnt-3_M062X_Z-22.FChk,0.0,0.0,-0.001100000000000001,-330.8065298504566,0.4458301984807065,89.0256538743929,1378.931087045959
lib_bnnt-3_M062X_Z-21.FChk,0.0,0.0,-0.00105,-330.8065076702604,0.441377179091103,89.09532962607349,1402.950074385716
lib_bnnt-3_M062X_Z-20.FChk,0.0,0.0,-0.001000000000000001,-330.8064857127993,0.4369206660779752,89.16485024192073,1361.42024272265
lib_bnnt-3_M062X_Z-19.FChk,0.0,0.0,-0.0009500000000000003,-330.8064639782501,0.4324607647731926,89.2303392446798,1261.784908074388
lib_bnnt-3_M062X_Z-18.FChk,0.0,0.0,-0.0009000000000000003,-330.8064424667737,0.4279976872993823,89.2926785122675,1251.514525766712
lib_bnnt-3_M062X_Z-17.FChk,0.0,0.0,-0.0008500000000000003,-330.8064211785314,0.4235314615853811,89.35703871208685,1332.99573250885
lib_bnnt-3_M062X_Z-16.FChk,0.0,0.0,-0.0008000000000000003,-330.8064001136837,0.4190618970705544,89.4264966591561,1447.149820465001
lib_bnnt-3_M062X_Z-15.FChk,0.0,0.0,-0.0007500000000000002,-330.8063792724002,0.4145887153957411,89.50167719618827,1554.390117306136
lib_bnnt-3_M062X_Z-14.FChk,0.0,0.0,-0.0007000000000000003,-330.8063586548757,0.4101116677768246,89.58033526846842,1566.166187571573
lib_bnnt-3_M062X_Z-13.FChk,0.0,0.0,-0.0006500000000000003,-330.8063382613029,0.4056307333847395,89.65610287909223,1457.675956964082
lib_bnnt-3_M062X_Z-12.FChk,0.0,0.0,-0.0006000000000000003,-330.8063180918629,0.4011461417907256,89.72706673411703,1398.610415346748
lib_bnnt-3_M062X_Z-11.FChk,0.0,0.0,-0.0005500000000000003,-330.8062981467451,0.3966580351085423,89.7974288526957,1424.82098844814
lib_bnnt-3_M062X_Z-10.FChk,0.0,0.0,-0.0005000000000000002,-330.8062784261214,0.3921663614560504,89.86995643574875,1477.054043397905
lib_bnnt-3_M062X_Z-9.FChk,0.0,0.0,-0.0004500000000000002,-330.8062589301738,0.3876709960562299,89.94506820708226,1526.096124394446
lib_bnnt-3_M062X_Z-8.FChk,0.0,0.0,-0.0004000000000000001,-330.8062396590856,0.3831718171511014,90.02242962266023,1567.131245561316
lib_bnnt-3_M062X_Z-7.FChk,0.0,0.0,-0.0003500000000000002,-330.8062206130549,0.3786687216592184,90.10168195514228,1602.210722994018
lib_bnnt-3_M062X_Z-6.FChk,0.0,0.0,-0.0003000000000000001,-330.806201792282,0.3741616213063557,90.1825972168531,1634.053685677516
lib_bnnt-3_M062X_Z-5.FChk,0.0,0.0,-0.0002500000000000001,-330.8061831969602,0.3696504360747772,90.26506650048334,1664.602207769415
lib_bnnt-3_M062X_Z-4.FChk,0.0,0.0,-0.0002000000000000001,-330.8061648273033,0.3651350894887973,90.34904424675534,1694.248051143968
lib_bnnt-3_M062X_Z-3.FChk,0.0,0.0,-0.0001500000000000001,-330.8061466835245,0.3606155079676556,90.4344380401765,1720.793252765488
lib_bnnt-3_M062X_Z-2.FChk,0.0,0.0,-0.0001,-330.8061287658248,0.3560916244323349,90.5211351757834,1749.009623069337
lib_bnnt-3_M062X_Z-1.FChk,0.0,0.0,-5.000000000000002e-05,-330.8061110744342,0.3515633656601396,90.60952014790775,1784.77063148347
lib_bnnt-3_M062X_Z+0.FChk,0.0,0.0,0.0,-330.8060936095638,0.3470306438601507,90.69975192619265,1832.775622172648
lib_bnnt-3_M062X_Z+1.FChk,0.0,0.0,5.000000000000002e-05,-330.8060763714467,0.3424933413771112,90.79275569472583,1883.783484145477
lib_bnnt-3_M062X_Z+2.FChk,0.0,0.0,0.0001,-330.8060593603076,0.3379513254196591,90.88835624447573,1938.940006092778
lib_bnnt-3_M062X_Z+3.FChk,0.0,0.0,0.0001500000000000001,-330.8060425763954,0.3334044703294157,90.98603088536959,1961.325819099382
lib_bnnt-3_M062X_Z+4.FChk,0.0,0.0,0.0002000000000000001,-330.8060260199422,0.3288527164243038,91.08414994865515,1965.598604653297
lib_bnnt-3_M062X_Z+5.FChk,0.0,0.0,0.0002500000000000001,-330.8060096912021,0.3242960378413766,91.18341230312333,2015.55018675492
lib_bnnt-3_M062X_Z+6.FChk,0.0,0.0,0.0003000000000000001,-330.8059935904237,0.3197343136724955,91.28621666909297,2093.394478571195
lib_bnnt-3_M062X_Z+7.FChk,0.0,0.0,0.0003500000000000002,-330.8059777178593,0.3151673665382102,91.39196231268745,2129.648613691261
lib_bnnt-3_M062X_Z+8.FChk,0.0,0.0,0.0004000000000000001,-330.8059620737759,0.3105950954592216,91.49915795934145,2163.616485569145
lib_bnnt-3_M062X_Z+9.FChk,0.0,0.0,0.0004500000000000002,-330.8059466584397,0.3060174073201258,91.60894206925255,2231.83740573332
lib_bnnt-3_M062X_Z+10.FChk,0.0,0.0,0.0005000000000000002,-330.8059314721281,0.3014341388352189,91.72240651592828,2304.545481570403
lib_bnnt-3_M062X_Z+11.FChk,0.0,0.0,0.0005500000000000003,-330.8059165151206,0.2968451132315937,91.83906742376726,2358.642644573426
lib_bnnt-3_M062X_Z+12.FChk,0.0,0.0,0.0006000000000000003,-330.8059017877146,0.292250194003659,91.95802879548175,2397.867100198265
lib_bnnt-3_M062X_Z+13.FChk,0.0,0.0,0.0006500000000000003,-330.8058872902028,0.2876492847252856,92.07845870939443,2410.357275791948
lib_bnnt-3_M062X_Z+14.FChk,0.0,0.0,0.0007000000000000003,-330.805873022888,0.2830423691902171,92.1975611364243,2340.794190756127
lib_bnnt-3_M062X_Z+15.FChk,0.0,0.0,0.0007500000000000002,-330.8058589860627,0.2784295912434924,92.31332727164671,2313.269478084425
lib_bnnt-3_M062X_Z+16.FChk,0.0,0.0,0.0008000000000000003,-330.8058451800235,0.2738110150633384,92.43007482185422,2353.309234938517
lib_bnnt-3_M062X_Z+17.FChk,0.0,0.0,0.0008500000000000003,-330.8058316050586,0.2691865761749859,92.5470352279859,2300.02739880101
lib_bnnt-3_M062X_Z+18.FChk,0.0,0.0,0.0009000000000000003,-330.8058182614616,0.2645564012675803,92.65900440924725,2188.538606852923
lib_bnnt-3_M062X_Z+19.FChk,0.0,0.0,0.0009500000000000003,-330.8058051495092,0.259920727845727,92.76802812015683,2198.532430411484
lib_bnnt-3_M062X_Z+20.FChk,0.0,0.0,0.001000000000000001,-330.8057922694812,0.255279549814226,92.87992342883766,2308.869004146158
lib_bnnt-3_M062X_Z+21.FChk,0.0,0.0,0.00105,-330.8057796216516,0.2506325862656791,93.00014886585021,2504.430309714182
lib_bnnt-3_M062X_Z+22.FChk,0.0,0.0,0.001100000000000001,-330.8057672063242,0.2459793388718303,93.13189760921772,2760.518447382091
lib_bnnt-3_M062X_Z+23.FChk,0.0,0.0,0.00115,-330.8057550238335,0.2413192060836504,93.2748478150468,2928.602490827033
lib_bnnt-3_M062X_Z+24.FChk,0.0,0.0,0.001200000000000001,-330.805743074528,0.2366518020833861,93.42090954043985,2885.060957027421
lib_bnnt-3_M062X_Z+25.FChk,0.0,0.0,0.001250000000000001,-330.8057313587708,0.2319771739271288,93.56444784840629,2917.985737125639
lib_bnnt-3_M062X_Z+26.FChk,0.0,0.0,0.001300000000000001,-330.805719876933,0.2272951618516736,93.71954335420807,3323.508701948877
lib_bnnt-3_M062X_Z+27.FChk,0.0,0.0,0.001350000000000001,-330.8057086293921,0.222604935564394,93.8891575011838,3261.426945230684
lib_bnnt-3_M062X_Z+28.FChk,0.0,0.0,0.001400000000000001,-330.8056976165745,0.2179068227999244,94.02610576310136,2227.594230059532
lib_bnnt-3_M062X_Z+29.FChk,0.0,0.0,0.001450000000000001,-330.8056868388092,0.2132027994445691,94.13642413836411,2381.617176494908
lib_bnnt-3_M062X_Z+30.FChk,0.0,0.0,0.001500000000000001,-330.8056762963906,0.2084927484194425,94.27113766992271,3067.912346090419
lib_bnnt-3_M062X_Z+31.FChk,0.0,0.0,0.001550000000000001,-330.8056659896631,0.2037746857477627,94.4714550926937,5569.974987076341
lib_bnnt-3_M062X_Z+32.FChk,0.0,0.0,0.001600000000000001,-330.8056559191642,0.199042031429979,94.83438024554238,2546.536782181769
lib_bnnt-3_M062X_Z+33.FChk,0.0,0.0,0.001650000000000001,-330.8056460855744,0.1943022413309268,94.79482271702509,3600.229810270035
lib_bnnt-3_M062X_Z+34.FChk,0.0,0.0,0.001700000000000001,-330.8056364890911,0.18955330462133,95.2159917507617,7691.309999574954
lib_bnnt-3_M062X_Z+35.FChk,0.0,0.0,0.001750000000000001,-330.80562713049,0.1847911048660587,95.26326185125117,4817.751700260529
lib_bnnt-3_M062X_Z+36.FChk,0.0,0.0,0.001800000000000001,-330.8056180100805,0.1800239658262379,95.43346301050532,3973.620747948708
lib_bnnt-3_M062X_Z+37.FChk,0.0,0.0,0.001850000000000001,-330.8056091282445,0.1752480643540024,95.59943983029842,3373.630345666148
lib_bnnt-3_M062X_Z+38.FChk,0.0,0.0,0.001900000000000001,-330.8056004854149,0.1704637480727569,95.77429619933723,3516.630508628796
lib_bnnt-3_M062X_Z+39.FChk,0.0,0.0,0.001950000000000001,-330.8055920820177,0.1656706908317402,95.94686850766027,3386.714749556308
lib_bnnt-3_M062X_Z+40.FChk,0.0,0.0,0.002000000000000001,-330.8055839184866,0.1608691470255512,96.11446627029116,3336.511929636708
lib_bnnt-3_M062X_Z+41.FChk,0.0,0.0,0.002050000000000001,-330.8055759952417,0.1560592406438506,96.28221176482143,3386.559128724319
lib_bnnt-3_M062X_Z+42.FChk,0.0,0.0,0.002100000000000001,-330.8055683127034,0.1512408560095415,96.4540784901797,3494.502756959433
lib_bnnt-3_M062X_Z+43.FChk,0.0,0.0,0.002150000000000001,-330.8055608713005,0.1464137300137387,96.63207306906294,3627.640726682087
lib_bnnt-3_M062X_Z+44.FChk,0.0,0.0,0.002200000000000001,-330.8055536714794,0.1415775333905627,96.81696709786132,3768.563558632076
lib_bnnt-3_M062X_Z+45.FChk,0.0,0.0,0.002250000000000001,-330.8055467137061,0.1367319153976125,97.00892758986737,3909.531872954633
lib_bnnt-3_M062X_Z+46.FChk,0.0,0.0,0.002300000000000001,-330.8055399984506,0.1318765241747273,97.20787350967996,4047.764086691682
lib_bnnt-3_M062X_Z+47.FChk,0.0,0.0,0.002350000000000001,-330.8055335262216,0.1270110142238718,97.41364972596321,4182.768829269147
lib_bnnt-3_M062X_Z+48.FChk,0.0,0.0,0.002400000000000001,-330.8055272975258,0.1221350479212919,97.62610430980433,4315.01850179824
lib_bnnt-3_M062X_Z+49.FChk,0.0,0.0,0.002450000000000001,-330.8055213128966,0.1172482944759969,97.84511931045955,4445.333993066502
lib_bnnt-3_M062X_Z+50.FChk,0.0,0.0,0.002500000000000001,-330.80551557288,0.112350427920592,98.07062052349622,4574.617024506699
